Station_Name,Station_Code
Kimball,41290
Kedzie,41180
Francisco,40870
Rockwell,41010
Western,41480
Damen,40090
Montrose,41500
Irving Park,41460
Addison,41440
Paulina,41310
Southport,40360
Belmont,41320
Wellington,41210
Diversey,40530
Fullerton,41220
Armitage,40660
Sedgwick,40800
Chicago,40710
Merchandise Mart,40460
Washington / Wells,40730
Quincy / Wells,40040
LaSalle / Van Buren,40160
Harold Washington Library - State / Van Buren,40850
Adams / Wabash,40680
Washington / Wabash,41700
State / Lake,40260
Clark / Lake,40380